Cycle,PSUID,Cluster,Plot,PlotID,SPCODE,Cover,Comments
C1,P001,6,E,P00106_E,ELESPP,2.5,
C1,P001,6,E,P00106_E,MORCER,1,
C1,P001,6,E,P00106_E,PONCOR,1,
C1,P001,6,E,P00106_E,UTRPUR,1,
C1,P001,7,C,P00107_C,CLAJAM,10,
C1,P001,7,C,P00107_C,LYGMIC,1,
C1,P001,7,C,P00107_C,PONCOR,2.5,
C1,P001,7,E,P00107_E,CEPOCC,1,
C1,P001,7,E,P00107_E,CLAJAM,24.5,
C1,P001,7,E,P00107_E,LYGMIC,1,
C1,P001,7,E,P00107_E,PELVIR,2.5,
C1,P001,7,E,P00107_E,PONCOR,1,
C1,P001,8,C,P00108_C,ELESPP,2.5,
C1,P001,8,C,P00108_C,NYMODO,1,
C1,P001,8,C,P00108_C,UTRPUR,2.5,
C1,P001,8,E,P00108_E,ELESPP,2.5,
C1,P001,8,E,P00108_E,NYMODO,2.5,
C1,P001,8,E,P00108_E,UTRPUR,1,
C1,P001,9,C,P00109_C,CEPOCC,1,
C1,P001,9,C,P00109_C,CLAJAM,2.5,
C1,P001,9,C,P00109_C,MORCER,1,
C1,P001,9,C,P00109_C,PELVIR,1,
C1,P001,9,E,P00109_E,BACCAR,1,
C1,P001,9,E,P00109_E,ELESPP,10,
C1,P001,9,E,P00109_E,NYMODO,2.5,
C1,P001,9,E,P00109_E,PANSPP,1,
C1,P001,9,E,P00109_E,UTRPUR,2.5,
C1,P001,10,C,P00110_C,CLAJAM,24.5,
C1,P001,10,C,P00110_C,MELQUI,1,
C1,P001,10,C,P00110_C,NYMODO,1,
C1,P001,10,E,P00110_E,ELESPP,2.5,
C1,P001,10,E,P00110_E,MELQUI,2.5,
C1,P001,11,C,P00111_C,CLAJAM,2.5,
C1,P001,11,C,P00111_C,NYMODO,1,
C1,P001,11,C,P00111_C,PELVIR,1,
C1,P001,11,E,P00111_E,CLAJAM,83,
C1,P001,12,C,P00112_C,CLAJAM,1,
C1,P001,12,C,P00112_C,NYMODO,1,
C1,P001,12,C,P00112_C,UTRPUR,2.5,
C1,P001,12,E,P00112_E,CLAJAM,24.5,
C1,P001,12,E,P00112_E,ELESPP,1,
C1,P001,12,E,P00112_E,UTRPUR,2.5,
C1,P001,13,C,P00113_C,CLAJAM,1,
C1,P001,13,C,P00113_C,ELESPP,2.5,
C1,P001,13,C,P00113_C,NYMODO,1,
C1,P001,13,C,P00113_C,UTRPUR,1,
C1,P001,13,E,P00113_E,BACCAR,1,
C1,P001,13,E,P00113_E,ELESPP,2.5,
C1,P001,13,E,P00113_E,NYMODO,2.5,
C1,P001,13,E,P00113_E,RHYINU,2.5,
C1,P001,13,E,P00113_E,UTRPUR,1,
C1,P001,14,C,P00114_C,CLAJAM,2.5,
C1,P001,14,C,P00114_C,ELESPP,1,
C1,P001,14,C,P00114_C,UTRPUR,1,
C1,P001,14,E,P00114_E,CLAJAM,10,
C1,P001,14,E,P00114_E,ELESPP,2.5,
C1,P001,14,E,P00114_E,UTRPUR,1,
C1,P001,15,C,P00115_C,CLAJAM,10,
C1,P001,15,C,P00115_C,LYGMIC,1,
C1,P001,15,C,P00115_C,MORCER,1,
C1,P001,15,C,P00115_C,PELVIR,1,
C1,P001,15,C,P00115_C,PLEPAR,1,
C1,P001,15,E,P00115_E,CLAJAM,2.5,
C1,P001,15,E,P00115_E,ELESPP,2.5,
C1,P001,15,E,P00115_E,PELVIR,2.5,
C1,P001,15,E,P00115_E,UTRPUR,2.5,
C1,P001,16,C,P00116_C,CLAJAM,2.5,
C1,P001,16,C,P00116_C,ELESPP,2.5,
C1,P001,16,C,P00116_C,UTRPUR,2.5,
C1,P001,16,E,P00116_E,CEPOCC,2.5,
C1,P001,16,E,P00116_E,ELESPP,2.5,
C1,P001,16,E,P00116_E,MORCER,24.5,
C1,P001,16,E,P00116_E,PLEPAR,2.5,
C1,P001,16,E,P00116_E,SCHTER,10,
C1,P001,17,C,P00117_C,ELESPP,2.5,
C1,P001,17,C,P00117_C,NYMODO,1,
C1,P001,17,C,P00117_C,UTRPUR,1,
C1,P001,17,E,P00117_E,ELESPP,10,
C1,P001,17,E,P00117_E,NYMODO,2.5,
C1,P001,17,E,P00117_E,UTRPUR,2.5,
C1,P001,18,C,P00118_C,CLAJAM,10,
C1,P001,18,C,P00118_C,PELVIR,1,
C1,P001,18,E,P00118_E,ELESPP,2.5,
C1,P001,18,E,P00118_E,PELVIR,1,
C1,P001,18,E,P00118_E,UTRPUR,2.5,
C1,P001,19,C,P00119_C,CLAJAM,1,
C1,P001,19,C,P00119_C,ELESPP,2.5,
C1,P001,19,C,P00119_C,PANSPP,1,
C1,P001,19,C,P00119_C,TYPDOM,1,Changed to TYPDOM
C1,P001,19,E,P00119_E,BACCAR,1,
C1,P001,19,E,P00119_E,ELESPP,2.5,
C1,P001,19,E,P00119_E,NYMODO,2.5,
C1,P001,19,E,P00119_E,PANSPP,10,
C1,P001,19,E,P00119_E,PONCOR,1,
C1,P001,19,E,P00119_E,UTRPUR,2.5,
C1,P001,20,C,P00120_C,CEPOCC,1,
C1,P001,20,C,P00120_C,CLAJAM,2.5,
C1,P001,20,C,P00120_C,MORCER,2.5,
C1,P001,20,C,P00120_C,PELVIR,1,
C1,P001,20,E,P00120_E,CLAJAM,10,
C1,P001,20,E,P00120_E,UTRPUR,2.5,
C1,P001,21,C,P00121_C,CLAJAM,2.5,
C1,P001,21,C,P00121_C,ELESPP,10,
C1,P001,21,C,P00121_C,NYMODO,1,
C1,P001,21,C,P00121_C,UTRPUR,10,
C1,P001,21,E,P00121_E,ELESPP,2.5,
C1,P001,21,E,P00121_E,NYMODO,1,
C1,P001,21,E,P00121_E,UTRPUR,10,
C1,P001,22,C,P00122_C,BACCAR,1,
C1,P001,22,C,P00122_C,CLAJAM,2.5,
C1,P001,22,C,P00122_C,ELESPP,2.5,
C1,P001,22,E,P00122_E,CLAJAM,24.5,
C1,P001,22,E,P00122_E,ELESPP,2.5,
C1,P001,22,E,P00122_E,MORCER,2.5,
C1,P001,23,C,P00123_C,CLAJAM,2.5,
C1,P001,23,C,P00123_C,PANSPP,1,
C1,P001,23,C,P00123_C,UTRPUR,2.5,
C1,P001,23,E,P00123_E,LYGMIC,1,
C1,P001,23,E,P00123_E,NYMODO,24.5,
C1,P001,23,E,P00123_E,PERBOR,1,
C1,P001,23,E,P00123_E,WOOVIR,2.5,
C1,P001,24,C,P00124_C,CLAJAM,24.5,
C1,P001,24,C,P00124_C,MORCER,1,
C1,P001,24,E,P00124_E,CLAJAM,24.5,
C1,P001,24,E,P00124_E,LYGMIC,1,
C1,P001,24,E,P00124_E,MORCER,2.5,
C1,P001,24,E,P00124_E,PLEPAR,1,
C1,P001,25,C,P00125_C,ELESPP,2.5,
C1,P001,25,C,P00125_C,NYMODO,1,
C1,P001,25,C,P00125_C,UTRPUR,2.5,
C1,P001,25,E,P00125_E,ELESPP,10,
C1,P001,25,E,P00125_E,NYMODO,2.5,
C1,P001,25,E,P00125_E,PELVIR,2.5,
C1,P001,25,E,P00125_E,UTRPUR,2.5,
C1,P001,26,C,P00126_C,CLAJAM,10,
C1,P001,26,C,P00126_C,MORCER,1,
C1,P001,26,C,P00126_C,PONCOR,1,
C1,P001,26,E,P00126_E,CLAJAM,24.5,
C1,P001,26,E,P00126_E,PERHIR,2.5,Changed to PERHIR
C1,P001,26,E,P00126_E,UTRPUR,2.5,
C1,P001,27,C,P00127_C,BACCAR,1,
C1,P001,27,C,P00127_C,ELESPP,10,
C1,P001,27,C,P00127_C,NYMODO,2.5,
C1,P001,27,C,P00127_C,UTRPUR,1,
C1,P001,27,E,P00127_E,ELESPP,10,
C1,P001,27,E,P00127_E,NYMODO,2.5,
C1,P001,27,E,P00127_E,PANSPP,1,
