"","PlotID_New","East_mm","East_sd","North_mm","North_sd"
"4890","P02922_N",551395.9,NA,2902170.9,NA
"4891","P02923_C",551462,NA,2901997.2,NA
"4892","P02923_E",551488.5,NA,2902002.3,NA
"4893","P02923_N",551457,NA,2902022.7,NA
"4894","P02924_C",551326,NA,2902215.2,NA
"4895","P02924_E",551348.6,NA,2902219.6,NA
"4896","P02924_N",551321.2,NA,2902239.7,NA
"4897","P02925_C",551346,NA,2901896.2,NA
"4898","P02925_E",551370.5,NA,2901901,NA
"4899","P02925_N",551343.1,NA,2901910.9,NA
"4900","P02926_C",551944,NA,2902279.2,NA
"4901","P02926_E",551972.5,NA,2902284.7,NA
"4902","P02926_N",551938.5,NA,2902307.7,NA
"4903","P02927_C",551924,NA,2902310.2,NA
"4904","P02927_E",551953.4,NA,2902315.9,NA
"4905","P02927_N",551923.4,NA,2902313.1,NA
"4906","P02928_C",552063,NA,2902219.2,NA
"4907","P02928_E",552081.7,NA,2902222.8,NA
"4908","P02928_N",552059.8,NA,2902235.9,NA
"4909","P02929_C",551810,NA,2902317.2,NA
"4910","P02929_E",551825.7,NA,2902320.2,NA
"4911","P02929_N",551808.3,NA,2902326,NA
"4912","P02930_C",551848,NA,2902244.2,NA
"4913","P02930_E",551882.4,NA,2902250.9,NA
"4914","P02930_N",551847.4,NA,2902247.1,NA
"4915","P02941_C",551242,NA,2903661.2,NA
"4916","P02941_E",551261.6,NA,2903665,NA
"4917","P02941_N",551237.6,NA,2903683.8,NA
"4918","P02942_C",551263,NA,2903839.2,NA
"4919","P02942_E",551266.9,NA,2903840,NA
"4920","P02942_N",551258.6,NA,2903861.8,NA
"4921","P02943_C",551304,NA,2903522.2,NA
"4922","P02943_E",551329.5,NA,2903527.2,NA
"4923","P02943_N",551298.1,NA,2903552.6,NA
"4924","P02944_C",551165,NA,2903777.2,NA
"4925","P02944_E",551175.8,NA,2903779.3,NA
"4926","P02944_N",551161.8,NA,2903793.9,NA
"4927","P02945_C",551206,NA,2903457.2,NA
"4928","P02945_E",551235.4,NA,2903462.9,NA
"4929","P02945_N",551201.6,NA,2903479.8,NA
"4930","P02965_C",550878,NA,2904379.2,NA
"4931","P02965_E",550899.6,NA,2904383.4,NA
"4932","P02965_N",550874.2,NA,2904398.8,NA
"4933","P03001_C",523452,NA,2828098.1,NA
"4934","P03001_E",523465,NA,2828090.6,NA
"4935","P03001_N",523456,NA,2828105.1,NA
"4936","P03002_C",523580,NA,2828199.1,NA
"4937","P03002_E",523583.5,NA,2828197.1,NA
"4938","P03002_N",523586.5,NA,2828210.4,NA
"4939","P03003_C",523551,0,2827997.1,0
"4940","P03003_E",523570.9,0,2827985.6,0
"4941","P03003_N",523563,0,2828017.9,0
"4942","P03004_C",523407,NA,2828275.1,NA
"4943","P03004_E",523413.1,NA,2828271.6,NA
"4944","P03004_N",523413.5,NA,2828286.4,NA
"4945","P03005_C",523374,0,2827971.1,0
"4946","P03005_E",523398.2,0,2827957.1,0
"4947","P03005_N",523386.5,0,2827992.8,0
"4948","P03006_C",524214,NA,2828057.1,NA
"4949","P03006_E",524231.3,NA,2828047.1,NA
"4950","P03006_N",524226,NA,2828077.9,NA
"4951","P03007_C",524314,0,2828142.1,0
"4952","P03007_E",524322.7,0,2828137.1,0
"4953","P03007_N",524329,0,2828168.1,0
"4954","P03008_C",524214,0,2827914.1,0
"4955","P03008_E",524225.3,0,2827907.6,0
"4956","P03008_N",524229,0,2827940.1,0
"4957","P03009_C",524201,NA,2828131.1,NA
"4958","P03009_E",524224.4,NA,2828117.6,NA
"4959","P03009_N",524217,NA,2828158.9,NA
"4960","P03010_C",524149,0,2828043.1,0
"4961","P03010_E",524162,0,2828035.6,0
"4962","P03010_N",524151.5,0,2828047.5,0
"4963","P03011_C",524509,NA,2827696.1,NA
"4964","P03011_E",524538.4,NA,2827679.1,NA
"4965","P03011_N",524515.5,NA,2827707.4,NA
"4966","P03012_C",524639,0,2827624.1,0
"4967","P03012_E",524648.5,0,2827618.6,0
"4968","P03012_N",524642.5,0,2827630.2,0
"4969","P03013_C",524566,0,2827607.1,0
"4970","P03013_E",524571.2,0,2827604.1,0
"4971","P03013_N",524580,0,2827631.4,0
"4972","P03014_C",524482,0,2827914.1,0
"4973","P03014_E",524487.2,0,2827911.1,0
"4974","P03014_N",524495.5,0,2827937.5,0
"4975","P03015_C",524456,0,2827627.1,0
"4976","P03015_E",524469,0,2827619.6,0
"4977","P03015_N",524458,0,2827630.6,0
"4978","P03016_C",525049,0,2827396.1,0
"4979","P03016_E",525059.4,0,2827390.1,0
"4980","P03016_N",525058,0,2827411.7,0
"4981","P03017_C",525114,0,2827401.1,0
"4982","P03017_E",525140,0,2827386.1,0
"4983","P03017_N",525129.5,0,2827428,0
"4984","P03018_C",525047,0,2827319.1,0
"4985","P03018_E",525055.7,0,2827314.1,0
"4986","P03018_N",525052,0,2827327.8,0
"4987","P03019_C",525030,0,2827463.1,0
"4988","P03019_E",525037.8,0,2827458.6,0
"4989","P03019_N",525042.5,0,2827484.8,0
"4990","P03020_C",524957,NA,2827435.1,NA
"4991","P03020_E",524974.3,NA,2827425.1,NA
"4992","P03020_N",524961,NA,2827442.1,NA
"4993","P03021_C",523970,0,2828808.1,0
"4994","P03021_E",523993.4,0,2828794.6,0
"4995","P03021_N",523976.5,0,2828819.4,0
"4996","P03022_C",524026,NA,2828842.1,NA
"4997","P03022_E",524049.4,NA,2828828.6,NA
"4998","P03022_N",524042.5,NA,2828870.7,NA
"4999","P03023_C",523949,0,2828733.1,0
"5000","P03023_E",523978.4,0,2828716.1,0
"5001","P03023_N",523953.5,0,2828740.9,0
"5002","P03024_C",523959,NA,2828834.1,NA
"5003","P03024_E",523987.6,NA,2828817.6,NA
"5004","P03024_N",523971.5,NA,2828855.8,NA
"5005","P03025_C",523885,0,2828759.1,0
"5006","P03025_E",523894.5,0,2828753.6,0
"5007","P03025_N",523890,0,2828767.8,0
"5008","P03026_C",524817,0,2828876.1,0
"5009","P03026_E",524829.1,0,2828869.1,0
"5010","P03026_N",524824.5,0,2828889.1,0
"5011","P03027_C",524868.333333333,16.1658075373095,2828855.76666667,9.23760430703401
"5012","P03027_E",524877.466666667,15.9926024565257,2828850.43333333,9.23760430703401
"5013","P03027_N",524874.5,0,2828888,0
"5014","P03028_C",524834,0,2828684.1,0
"5015","P03028_E",524838.3,0,2828681.6,0
